Date,PM25,PM10,NO,NO2,NOX,NH3,SO2 ,CO,O3,TE,RH,WS ,WD,SR
01-01-2020,57.91,95.28,12.18,17.6,29.38,12.5,1.73,0.33,30.78,28.42,70.65,1.72,331.01,292.99
02-01-2020,57.91,94.48,12.19,17.6,29.39,12.5,1.73,0.44,39.55,28.41,69.36,1.71,330.92,316.56
03-01-2020,55.39,95.75,12.19,17.6,29.39,12.5,2.35,0.36,40.78,28.1,67.85,1.79,331.46,147.75
04-01-2020,49.43,85.57,12.17,17.6,29.37,12.49,2.06,0.43,43.66,28.72,64.05,1.72,331.23,302.65
05-01-2020,50.33,78.91,12.19,17.59,29.38,12.5,2.45,0.38,43.6,28.9,64,1.67,330.69,298.67
06-01-2020,42.8,70.37,12.18,17.6,29.38,12.5,1.41,0.47,40.16,28.41,69.98,1.73,330.73,289.5
07-01-2020,47.04,73.86,12.18,17.6,29.38,12.49,1.62,0.45,31.71,28.45,71.82,2.04,331.24,283.93
08-01-2020,49.81,104.45,12.18,17.6,29.38,12.49,3.08,0.34,36.5,28.76,62.32,2.47,331.7,294.56
09-01-2020,39.22,75.77,12.16,17.6,29.37,12.49,3.53,0.29,30.43,28.54,63.51,2.61,328.71,297.87
10-01-2020,40.13,73.46,12.18,17.6,29.38,12.5,2.6,0.34,27.17,28.14,63.75,2.31,327.7,285.6
11-01-2020,35.78,67.19,12.17,17.6,29.36,12.49,2.33,0.41,23.14,28.31,61.79,1.85,323.39,295.6
12-01-2020,38.29,68.45,12.15,17.61,29.36,12.49,2.35,0.26,23.94,28.4,64.06,2,324.05,323.51
13-01-2020,41.38,86.85,12.1,17.59,29.29,12.48,1.83,0.28,26.09,28.77,65.9,2.34,328.14,298.31
14-01-2020,35.69,80.19,12.1,17.59,29.3,12.48,2.33,0.13,25.82,28.79,63.19,2.39,327.19,307.9
15-01-2020,42.79,83.54,12.1,17.59,29.3,12.48,2.23,0.19,26.21,28.58,64.62,2.15,328.31,330.69
16-01-2020,32.46,60.93,12.11,17.6,29.3,12.48,2.03,0.14,27.69,28.78,63.43,2.32,328.59,325.96
17-01-2020,33.31,72.48,12.09,17.59,29.29,12.48,2.82,0.17,35.41,28.41,64.03,2.43,328.57,322.71
18-01-2020,40.63,73.56,12.1,17.6,29.3,12.48,2.74,0.17,44.46,28.42,64.71,2.1,329,334.72
19-01-2020,42.79,79.39,12.11,17.6,29.3,12.48,3.26,0.15,58.45,28.61,68.03,2.08,330.25,350.34
20-01-2020,42.21,77.84,12.11,17.6,29.31,12.48,1.99,0.25,50.12,28.98,67.32,1.88,330.16,325.31
21-01-2020,48.33,86.16,12.12,17.6,29.31,12.48,2.55,0.4,45.47,29.17,68.29,1.95,330.6,313.56
22-01-2020,46.83,78.17,12.1,17.59,29.29,12.48,1.42,0.42,35.38,29.23,69.2,2,329.07,408.04
23-01-2020,47.29,79.26,12.11,17.59,29.3,12.48,1.58,0.39,28.89,29.17,71.49,1.99,322.78,380.89
24-01-2020,40.49,71.55,12.1,17.59,29.3,12.48,1.79,0.32,32.78,29.17,66.7,2.12,319.41,337.05
25-01-2020,35.49,69.1,12.11,17.6,29.3,12.49,2.7,0.27,33.01,28.85,60.76,2.27,318.61,325.15
26-01-2020,35.64,60.59,12.1,17.6,29.3,12.48,2.46,0.22,26.94,28.78,66.56,1.87,318.92,315.07
27-01-2020,43.44,70.79,12.09,17.59,29.29,12.48,1.94,0.23,30.76,29,66.9,1.84,318.05,307.04
28-01-2020,41.19,67.78,12.1,17.6,29.3,12.48,2.02,0.2,33.84,29.11,68.5,2.17,316.8,328.05
29-01-2020,36.88,60.11,12.09,17.6,29.29,12.48,2.02,0.11,29.16,28.99,69.07,1.85,316.81,353.15
30-01-2020,37.76,61.7,12.1,17.6,29.29,12.48,1.23,0.12,24.22,29.26,69.44,2.1,316.86,363.12
31-01-2020,39.45,66.03,12.09,17.6,29.29,12.48,1.7,0.07,25.66,29.44,66.32,2.17,316.85,337.45
01-02-2020,45.86,71.09,12.09,17.6,29.29,12.48,1.3,0.22,23.02,29.55,69.76,1.96,316.82,308.05
02-02-2020,41.4,61.46,12.1,17.59,29.3,12.48,1.14,0.2,24.9,29.92,69.79,2,316.83,355.25
03-02-2020,43.53,68.8,12.09,17.6,29.29,12.48,1.31,0.26,25.26,29.98,68.66,2.36,316.72,540.61
04-02-2020,68.06,112.56,8.16,9.98,18.64,0.02,2.4,0.6,45.97,27.3,67.41,1.9,313.9,276.64
05-02-2020,68.57,116.28,7.98,10,18.48,0.02,2.4,0.56,43.72,27.86,65.41,1.87,314,271.71
06-02-2020,64.46,107.44,7.97,9.99,18.46,0.03,2.64,0.42,50.62,27.41,67.8,1.95,314.03,280.09
07-02-2020,48.45,99.34,8.08,11.55,19.95,5.56,2.83,0.32,42,26.81,67.17,2.42,314.17,294.11
08-02-2020,38.3,77.32,8.87,14,22.89,10.75,2.06,0.42,33.55,25.88,63.76,2.28,314.14,274.06
09-02-2020,41.06,69.72,8.46,13.98,22.46,10.75,2.15,0.5,32.55,26.18,61.3,1.9,316.19,270.49
10-02-2020,41.36,76.86,9.31,13.99,23.32,10.76,2.91,0.56,32.51,26.77,60.3,1.99,319.71,271.63
11-02-2020,49.13,91.77,8.74,14.91,19.28,8.11,1.98,0.46,38.08,27.83,60.54,1.83,322.12,300.4
12-02-2020,62.36,112.3,7.97,18.6,14.61,5.25,2.55,0.58,41.88,27.83,62.68,1.95,320.39,300.48
13-02-2020,60.59,105.29,7.98,12.6,20.62,16.5,3.2,0.56,53.35,28.02,64.81,1.86,320.66,326.28
14-02-2020,69.29,122.12,9.07,13.63,23.55,19.06,2.96,0.35,46.84,28,69.83,1.92,321.25,291.64
15-02-2020,68.56,105.54,10.17,14.59,26.36,21.5,2.53,0.43,41.55,27.89,72.2,1.72,323.19,299.15
16-02-2020,71.02,100.66,10.16,14.6,26.35,21.49,2.62,0.46,47.63,28.33,70.9,1.74,325.77,310.37
17-02-2020,80.14,122.24,10.17,14.59,26.36,21.5,2.39,0.55,44.27,28.46,67.22,2,323.7,316.57
18-02-2020,69.41,113.31,10.92,15.73,27.5,18.08,3.07,0.42,55.95,28.1,63.53,1.85,320.5,286.64
19-02-2020,70.69,112.1,12.16,17.6,29.36,12.49,2.47,0.49,46.94,27.84,69.08,1.74,320.85,290.08
20-02-2020,73.17,118.42,12.17,17.6,29.37,12.5,4.6,0.53,56.34,28.1,65.05,1.89,321.34,292.12
21-02-2020,69.49,106.06,12.18,17.6,29.37,12.5,1.86,0.48,31.22,28.29,62.93,1.96,321.79,292.95
22-02-2020,74.95,116.41,12.17,17.6,29.37,12.5,2.33,0.52,43.7,28.47,67.44,1.88,326.33,298.09
23-02-2020,61.32,99.91,12.17,17.6,29.37,12.5,2.41,0.47,44.79,28.73,61.78,1.8,329.4,266.55
24-02-2020,71.97,121.14,12.2,17.6,29.4,12.5,4.04,0.64,49.31,28.22,60.77,1.99,329.98,280.34
25-02-2020,68.04,104.53,12.18,17.6,29.38,12.5,2.34,0.41,39.96,27.8,68.76,1.9,330.61,292.6
26-02-2020,57.91,95.28,12.18,17.6,29.38,12.5,1.73,0.33,30.78,28.42,70.65,1.72,331.01,292.99
27-02-2020,57.91,94.48,12.19,17.6,29.39,12.5,1.73,0.44,39.55,28.41,69.36,1.71,330.92,316.56
28-02-2020,55.39,95.75,12.19,17.6,29.39,12.5,2.35,0.36,40.78,28.1,67.85,1.79,331.46,147.75
29-02-2020,49.43,85.57,12.17,17.6,29.37,12.49,2.06,0.43,43.66,28.72,64.05,1.72,331.23,302.65
01-03-2020,50.33,78.91,12.19,17.59,29.38,12.5,2.45,0.38,43.6,28.9,64,1.67,330.69,298.67
02-03-2020,42.8,70.37,12.18,17.6,29.38,12.5,1.41,0.47,40.16,28.41,69.98,1.73,330.73,289.5
03-03-2020,47.04,73.86,12.18,17.6,29.38,12.49,1.62,0.45,31.71,28.45,71.82,2.04,331.24,283.93
04-03-2020,49.81,104.45,12.18,17.6,29.38,12.49,3.08,0.34,36.5,28.76,62.32,2.47,331.7,294.56
05-03-2020,39.22,75.77,12.16,17.6,29.37,12.49,3.53,0.29,30.43,28.54,63.51,2.61,328.71,297.87
06-03-2020,40.13,73.46,12.18,17.6,29.38,12.5,2.6,0.34,27.17,28.14,63.75,2.31,327.7,285.6
07-03-2020,35.78,67.19,12.17,17.6,29.36,12.49,2.33,0.41,23.14,28.31,61.79,1.85,323.39,295.6
08-03-2020,38.29,68.45,12.15,17.61,29.36,12.49,2.35,0.26,23.94,28.4,64.06,2,324.05,323.51
09-03-2020,41.38,86.85,12.1,17.59,29.29,12.48,1.83,0.28,26.09,28.77,65.9,2.34,328.14,298.31
10-03-2020,35.69,80.19,12.1,17.59,29.3,12.48,2.33,0.13,25.82,28.79,63.19,2.39,327.19,307.9
11-03-2020,42.79,83.54,12.1,17.59,29.3,12.48,2.23,0.19,26.21,28.58,64.62,2.15,328.31,330.69
12-03-2020,32.46,60.93,12.11,17.6,29.3,12.48,2.03,0.14,27.69,28.78,63.43,2.32,328.59,325.96
13-03-2020,33.31,72.48,12.09,17.59,29.29,12.48,2.82,0.17,35.41,28.41,64.03,2.43,328.57,322.71
14-03-2020,40.63,73.56,12.1,17.6,29.3,12.48,2.74,0.17,44.46,28.42,64.71,2.1,329,334.72
15-03-2020,42.79,79.39,12.11,17.6,29.3,12.48,3.26,0.15,58.45,28.61,68.03,2.08,330.25,350.34
16-03-2020,42.21,77.84,12.11,17.6,29.31,12.48,1.99,0.25,50.12,28.98,67.32,1.88,330.16,325.31
17-03-2020,48.33,86.16,12.12,17.6,29.31,12.48,2.55,0.4,45.47,29.17,68.29,1.95,330.6,313.56
18-03-2020,46.83,78.17,12.1,17.59,29.29,12.48,1.42,0.42,35.38,29.23,69.2,2,329.07,408.04
19-03-2020,47.29,79.26,12.11,17.59,29.3,12.48,1.58,0.39,28.89,29.17,71.49,1.99,322.78,380.89
20-03-2020,40.49,71.55,12.1,17.59,29.3,12.48,1.79,0.32,32.78,29.17,66.7,2.12,319.41,337.05
21-03-2020,35.49,69.1,12.11,17.6,29.3,12.49,2.7,0.27,33.01,28.85,60.76,2.27,318.61,325.15
22-03-2020,35.64,60.59,12.1,17.6,29.3,12.48,2.46,0.22,26.94,28.78,66.56,1.87,318.92,315.07
23-03-2020,43.44,70.79,12.09,17.59,29.29,12.48,1.94,0.23,30.76,29,66.9,1.84,318.05,307.04
24-03-2020,41.19,67.78,12.1,17.6,29.3,12.48,2.02,0.2,33.84,29.11,68.5,2.17,316.8,328.05
25-03-2020,36.88,60.11,12.09,17.6,29.29,12.48,2.02,0.11,29.16,28.99,69.07,1.85,316.81,353.15
26-03-2020,37.76,61.7,12.1,17.6,29.29,12.48,1.23,0.12,24.22,29.26,69.44,2.1,316.86,363.12
27-03-2020,39.45,66.03,12.09,17.6,29.29,12.48,1.7,0.07,25.66,29.44,66.32,2.17,316.85,337.45
28-03-2020,45.86,71.09,12.09,17.6,29.29,12.48,1.3,0.22,23.02,29.55,69.76,1.96,316.82,308.05
29-03-2020,41.4,61.46,12.1,17.59,29.3,12.48,1.14,0.2,24.9,29.92,69.79,2,316.83,355.25
30-03-2020,43.53,68.8,12.09,17.6,29.29,12.48,1.31,0.26,25.26,29.98,68.66,2.36,316.72,540.61
31-03-2020,44.505,66.515,12.095,17.595,29.295,12.48,1.03,0.325,24.88,30.22,70.395,2.275,316.71,549.51
01-04-2020,45.283,66.383,12.096,17.594,29.296,12.48,0.897,0.38,24.948,30.419,71.1,2.336,316.672,615.178
02-04-2020,46.061,66.251,12.097,17.593,29.297,12.48,0.764,0.435,25.016,30.618,71.805,2.397,316.634,680.846
03-04-2020,46.839,66.119,12.098,17.592,29.298,12.48,0.631,0.49,25.084,30.817,72.51,2.458,316.596,746.514
04-04-2020,47.617,65.987,12.099,17.591,29.299,12.48,0.498,0.545,25.152,31.016,73.215,2.519,316.558,812.182
05-04-2020,33.4,46.735,15.99,22.25,37.64,14.97,2.16,0.19,24.255,29.045,73.1,1.445,311.605,66.505
06-04-2020,34.05,53.28,12.26,17.6,29.46,12.51,1.94,0.21,22.74,29.31,70.54,1.76,311.67,139.27
07-04-2020,27.26,42.51,12.13,17.6,29.33,12.49,1.53,0.11,26.47,28.13,70.97,1.67,311.67,218.55
08-04-2020,35.77,56.87,8.81,13.44,22.11,10.22,1.95,0.19,24.57,28.6,67.91,2.14,311.71,362.84
09-04-2020,28.56,55.6,4.67,8.3,12.97,7.57,1.09,0.15,23.44,28.66,65.85,2.3,311.8,364.08
10-04-2020,24.75,42.9,4.66,8.3,12.96,7.57,2.55,0.16,45.17,29.76,61.49,1.97,311.83,545.13
11-04-2020,27.23,43.29,4.68,8.3,12.97,7.57,1.7,0.35,33.86,29.93,64.47,1.81,311.85,539.23
12-04-2020,29.25,48.73,4.65,8.29,12.94,7.56,1.16,0.23,19.13,28.05,77.94,1.87,311.85,377.75
