Date,PM10,PM2.5,SO2,CO,NO,NO2,NOX,NH3,O3,WS,WD,TC,HR,SR
01-01-2020,95.28,57.91,1.73,0.33,12.18,17.6,29.38,12.5,30.78,1.72,331.01,28.42,70.65,292.99
02-01-2020,94.48,57.91,1.73,0.44,12.19,17.6,29.39,12.5,39.55,1.71,330.92,28.41,69.36,316.56
03-01-2020,95.75,55.39,2.35,0.36,12.19,17.6,29.39,12.5,40.78,1.79,331.46,28.1,67.85,147.75
04-01-2020,85.57,49.43,2.06,0.43,12.17,17.6,29.37,12.49,43.66,1.72,331.23,28.72,64.05,302.65
05-01-2020,78.91,50.33,2.45,0.38,12.19,17.59,29.38,12.5,43.6,1.67,330.69,28.9,64,298.67
06-01-2020,70.37,42.8,1.41,0.47,12.18,17.6,29.38,12.5,40.16,1.73,330.73,28.41,69.98,289.5
07-01-2020,73.86,47.04,1.62,0.45,12.18,17.6,29.38,12.49,31.71,2.04,331.24,28.45,71.82,283.93
08-01-2020,104.45,49.81,3.08,0.34,12.18,17.6,29.38,12.49,36.5,2.47,331.7,28.76,62.32,294.56
09-01-2020,75.77,39.22,3.53,0.29,12.16,17.6,29.37,12.49,30.43,2.61,328.71,28.54,63.51,297.87
10-01-2020,73.46,40.13,2.6,0.34,12.18,17.6,29.38,12.5,27.17,2.31,327.7,28.14,63.75,285.6
11-01-2020,67.19,35.78,2.33,0.41,12.17,17.6,29.36,12.49,23.14,1.85,323.39,28.31,61.79,295.6
12-01-2020,68.45,38.29,2.35,0.26,12.15,17.61,29.36,12.49,23.94,2,324.05,28.4,64.06,323.51
13-01-2020,86.85,41.38,1.83,0.28,12.1,17.59,29.29,12.48,26.09,2.34,328.14,28.77,65.9,298.31
14-01-2020,80.19,35.69,2.33,0.13,12.1,17.59,29.3,12.48,25.82,2.39,327.19,28.79,63.19,307.9
15-01-2020,83.54,42.79,2.23,0.19,12.1,17.59,29.3,12.48,26.21,2.15,328.31,28.58,64.62,330.69
16-01-2020,60.93,32.46,2.03,0.14,12.11,17.6,29.3,12.48,27.69,2.32,328.59,28.78,63.43,325.96
17-01-2020,72.48,33.31,2.82,0.17,12.09,17.59,29.29,12.48,35.41,2.43,328.57,28.41,64.03,322.71
18-01-2020,73.56,40.63,2.74,0.17,12.1,17.6,29.3,12.48,44.46,2.1,329,28.42,64.71,334.72
19-01-2020,79.39,42.79,3.26,0.15,12.11,17.6,29.3,12.48,58.45,2.08,330.25,28.61,68.03,350.34
20-01-2020,77.84,42.21,1.99,0.25,12.11,17.6,29.31,12.48,50.12,1.88,330.16,28.98,67.32,325.31
21-01-2020,86.16,48.33,2.55,0.4,12.12,17.6,29.31,12.48,45.47,1.95,330.6,29.17,68.29,313.56
22-01-2020,78.17,46.83,1.42,0.42,12.1,17.59,29.29,12.48,35.38,2,329.07,29.23,69.2,408.04
23-01-2020,79.26,47.29,1.58,0.39,12.11,17.59,29.3,12.48,28.89,1.99,322.78,29.17,71.49,380.89
24-01-2020,71.55,40.49,1.79,0.32,12.1,17.59,29.3,12.48,32.78,2.12,319.41,29.17,66.7,337.05
25-01-2020,69.1,35.49,2.7,0.27,12.11,17.6,29.3,12.49,33.01,2.27,318.61,28.85,60.76,325.15
26-01-2020,60.59,35.64,2.46,0.22,12.1,17.6,29.3,12.48,26.94,1.87,318.92,28.78,66.56,315.07
27-01-2020,70.79,43.44,1.94,0.23,12.09,17.59,29.29,12.48,30.76,1.84,318.05,29,66.9,307.04
28-01-2020,67.78,41.19,2.02,0.2,12.1,17.6,29.3,12.48,33.84,2.17,316.8,29.11,68.5,328.05
29-01-2020,60.11,36.88,2.02,0.11,12.09,17.6,29.29,12.48,29.16,1.85,316.81,28.99,69.07,353.15
30-01-2020,61.7,37.76,1.23,0.12,12.1,17.6,29.29,12.48,24.22,2.1,316.86,29.26,69.44,363.12
31-01-2020,66.03,39.45,1.7,0.07,12.09,17.6,29.29,12.48,25.66,2.17,316.85,29.44,66.32,337.45
01-02-2020,71.09,45.86,1.3,0.22,12.09,17.6,29.29,12.48,23.02,1.96,316.82,29.55,69.76,308.05
02-02-2020,61.46,41.4,1.14,0.2,12.1,17.59,29.3,12.48,24.9,2,316.83,29.92,69.79,355.25
03-02-2020,68.8,43.53,1.31,0.26,12.09,17.6,29.29,12.48,25.26,2.36,316.72,29.98,68.66,540.61
